front,back
How many completely openable sides in a carport ,2
TB referring to carports and passageways,Tb 007
Distance to opening under carport,1200mm
Distance from lowest point of carport to top of flue ,200mm 
Gas will only ignite in air between what % range,5-15%
NG ignites at what temperature ,704°
Relative density of NG,0.6
Qualification for inspection of co,CMDDA1
Igem document for responding to co alarm activation,IGEM G11 supplement 1
Calculation for working out combustion ratio,Co (ppm) ÷ (co2 x 10000) 90 (ppm) ÷ (9.8 × 10000) = 0.0009
Calculat co ratio Co = 65ppm Co2 = 9.7,65 ÷ 97000 = 0.0006
Co 115 Co2 10.3 What is ratio,115 ÷ 103000 = 0.0011
Maximum co ratio for new and older boilers,0.004 newer 0.008 older
Maximum KW rating and pipe size we can work on ,70KW 35mm
British standard referring to ventilation requirements for NG appliances under 70KW,BS5440 PART 2
BS 5440 part 2,Ventilation for NG appliances under 70KW
Adventitious ventilation,7KW
Air vents for fires should not be .....,Closeable or have screens
Size of air vent openings ,Between 5-10mm
Minimum Air vent distance to r/s flue ,300mm
Internal air vents for O/F appliance should never be to what room ,Bathroom
What size Compartment Ventilation for o/f appliances to another room (BS 5440 part 2),10cm2 high - 20cm2 low
What size Ventilation for o/f appliances direct to outside (BS 5440 part 2),5cm2 per KW above 7KW
What size air brick for DFE or f/l fire under 7KW,100cm2
Compartment ventilation to outside for o/f appliances ,5cm2 high 10cm2 low
What do you you do if you find existing lead pipe ,It is fine as long as its  ●In good condition  ●Well supported ●Adequate zize
How far should gas pipe/meter be from electric meter/consumer unit ,150mm
Pioe Distance to cables,25mm
Low pressure gas meter is a maximum of ___mb,75mb
Medium pressure meter is over ___ mb,75mb but not exceeding 2bar
Perceptible movement when performing  TT with water guage,Max 0.25mb
Perceptible movement when performing  TT with electronic guage,0.2mb
Maximum permissable pressure loss on system with no appliances fitted,0mb
Permissable pressure drop from aecv with appliance connected,8mb
Maximum installation volume we can work on ,0.035m3
Let by test pressure is,7-10mb
TT pressure is,20-21mb 18-19mb on mp
TT pressure for Medium pressure ,18-19mb
Max fsd time for boiler,60 seconds
Max fsd time for cooker and hob,60 seconds cooker 90 seconds hob
What are the 4 main parts of an open flue,•primary flue •draught diverter •secondary flue •terminal
Can o/f gave 90° bends,No maximum 45° 
Minimum distance from draught diverter to 1st bend on open flue,600mm
How to purge system under 0.02m3,Can be purged to building with no flame
How to purge system over 0.02m3,Must be purged to flame
